5.9811 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
7.6095 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026023BAB400>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000026024C17220>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.6096 	EXP 	window1: mouseVisible = True
7.6096 	EXP 	window1: mouseVisible = False
7.6096 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.6097 	EXP 	window1: recordFrameIntervals = False
7.7762 	EXP 	window1: recordFrameIntervals = True
7.9596 	EXP 	Screen (0) actual frame rate measured at 60.10Hz
7.9596 	EXP 	window1: recordFrameIntervals = False
10.0756 	EXP 	Created InstructionsText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='InstructionsText', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.1437 	EXP 	Created ISI_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='ISI_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.1442 	EXP 	Created Targetstim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([ 1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Targetstim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.1447 	EXP 	Created Feedback_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([ 1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Feedback_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.1512 	EXP 	Created Goodbye = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Goodbye', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.1582 	EXP 	InstructionsText: autoDraw = True
17.3890 	EXP 	Created sequence: random, trialTypes=1, nReps=120, seed=None
17.3895 	EXP 	New trial (rep=0, index=0): None
17.3929 	DATA 	Keypress: space
17.4003 	EXP 	InstructionsText: autoDraw = False
17.4003 	EXP 	ISI_text: autoDraw = True
19.1814 	EXP 	ISI_text: autoDraw = False
19.1814 	EXP 	ISI_text: autoDraw = False
19.1814 	EXP 	Targetstim: autoDraw = True
19.9210 	DATA 	Keypress: space
19.9307 	EXP 	Targetstim: autoDraw = False
19.9307 	EXP 	Feedback_text: height = 0.05
19.9307 	EXP 	Feedback_text: height = 0.05
19.9307 	EXP 	Feedback_text: height = 0.05
19.9307 	EXP 	Feedback_text: text = '728'
19.9307 	EXP 	Feedback_text: autoDraw = True
20.4153 	EXP 	New trial (rep=1, index=0): None
20.4306 	EXP 	Feedback_text: autoDraw = False
20.4306 	EXP 	Feedback_text: autoDraw = False
20.4306 	EXP 	ISI_text: autoDraw = True
22.1952 	EXP 	ISI_text: autoDraw = False
22.1952 	EXP 	ISI_text: autoDraw = False
22.1952 	EXP 	Targetstim: autoDraw = True
22.7496 	DATA 	Keypress: space
22.7615 	EXP 	Targetstim: autoDraw = False
